USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.0  23196 14608 ?        Ss   May04  22:56 /usr/lib/systemd/systemd --system --deserialize=79
root          84  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-ata_s]
root          85  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-md]
root          86  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-md_bi]
root          87  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-edac-]
root          88  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-devfr]
root          89  0.0  0.0      0     0 ?        S    May04   0:00 [watchdogd]
root          90  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-quota]
root          92  0.0  0.0      0     0 ?        S    May04   0:21 [kswapd0]
root          93  0.0  0.0      0     0 ?        S    May04   0:00 [ecryptfs-kthread]
root          94  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-kthro]
root          95  0.0  0.0      0     0 ?        S    May04   0:00 [irq/24-pciehp]
root          96  0.0  0.0      0     0 ?        S    May04   0:00 [irq/25-pciehp]
root          97  0.0  0.0      0     0 ?        S    May04   0:00 [irq/26-pciehp]
root          98  0.0  0.0      0     0 ?        S    May04   0:00 [irq/27-pciehp]
root          99  0.0  0.0      0     0 ?        S    May04   0:00 [irq/28-pciehp]
root         100  0.0  0.0      0     0 ?        S    May04   0:00 [irq/29-pciehp]
root         101  0.0  0.0      0     0 ?        S    May04   0:00 [irq/30-pciehp]
root         102  0.0  0.0      0     0 ?        S    May04   0:00 [irq/31-pciehp]
root         103  0.0  0.0      0     0 ?        S    May04   0:00 [irq/32-pciehp]
root         104  0.0  0.0      0     0 ?        S    May04   0:00 [irq/33-pciehp]
root         105  0.0  0.0      0     0 ?        S    May04   0:00 [irq/34-pciehp]
root         106  0.0  0.0      0     0 ?        S    May04   0:00 [irq/35-pciehp]
root         107  0.0  0.0      0     0 ?        S    May04   0:00 [irq/36-pciehp]
root         108  0.0  0.0      0     0 ?        S    May04   0:00 [irq/37-pciehp]
root         109  0.0  0.0      0     0 ?        S    May04   0:00 [irq/38-pciehp]
root         110  0.0  0.0      0     0 ?        S    May04   0:00 [irq/39-pciehp]
root         111  0.0  0.0      0     0 ?        S    May04   0:00 [irq/40-pciehp]
root         112  0.0  0.0      0     0 ?        S    May04   0:00 [irq/41-pciehp]
root         113  0.0  0.0      0     0 ?        S    May04   0:00 [irq/42-pciehp]
root         114  0.0  0.0      0     0 ?        S    May04   0:00 [irq/43-pciehp]
root         115  0.0  0.0      0     0 ?        S    May04   0:00 [irq/44-pciehp]
root         116  0.0  0.0      0     0 ?        S    May04   0:00 [irq/45-pciehp]
root         117  0.0  0.0      0     0 ?        S    May04   0:00 [irq/46-pciehp]
root         118  0.0  0.0      0     0 ?        S    May04   0:00 [irq/47-pciehp]
root         119  0.0  0.0      0     0 ?        S    May04   0:00 [irq/48-pciehp]
root         120  0.0  0.0      0     0 ?        S    May04   0:00 [irq/49-pciehp]
root         121  0.0  0.0      0     0 ?        S    May04   0:00 [irq/50-pciehp]
root         122  0.0  0.0      0     0 ?        S    May04   0:00 [irq/51-pciehp]
root         125  0.0  0.0      0     0 ?        S    May04   0:00 [irq/52-pciehp]
root         126  0.0  0.0      0     0 ?        S    May04   0:00 [irq/53-pciehp]
root         127  0.0  0.0      0     0 ?        S    May04   0:00 [irq/54-pciehp]
root         128  0.0  0.0      0     0 ?        S    May04   0:00 [irq/55-pciehp]
root         129  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-acpi_]
root         130  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_0]
root         131  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         132  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_1]
root         133  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         138  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-mld]
root         139  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-ipv6_]
root         149  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-kstrp]
root         151  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/u257:0]
root         156  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-crypt]
root         167  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-charg]
root         235  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-mpt_p]
root         236  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-mpt/0]
root         253  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_2]
root         254  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         256  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_3]
root         257  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         258  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_4]
root         259  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         260  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_5]
root         261  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         262  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_6]
root         263  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         264  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_7]
root         265  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         266  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_8]
root         267  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         268  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_9]
root         269  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         270  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_10]
root         271  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         272  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_11]
root         273  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         274  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_12]
root         275  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         276  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_13]
root         277  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         278  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_14]
root         279  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         280  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_15]
root         281  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         282  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_16]
root         283  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         284  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_17]
root         285  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         286  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_18]
root         287  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         288  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_19]
root         289  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         290  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_20]
root         291  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         292  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_21]
root         293  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         294  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_22]
root         295  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         296  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_23]
root         297  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         298  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_24]
root         299  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         300  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_25]
root         301  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         302  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_26]
root         303  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         304  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_27]
root         305  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         306  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_28]
root         308  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         309  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_29]
root         310  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         311  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_30]
root         313  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         314  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_31]
root         315  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         317  0.0  0.0      0     0 ?        S    May04   0:00 [scsi_eh_32]
root         318  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-scsi_]
root         355  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-kdmfl]
root         393  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-raid5]
root         432  0.0  0.0      0     0 ?        S    May04   3:44 [jbd2/dm-0-8]
root         433  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-ext4-]
root         526  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-kmpat]
root         527  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-kmpat]
root         530  0.0  0.0      0     0 ?        S    May04   0:00 [irq/16-vmwgfx]
root         531  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-ttm]
root         747  0.0  0.0      0     0 ?        S    May04   0:00 [jbd2/sda2-8]
root         748  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-ext4-]
root         749  0.0  0.0      0     0 ?        S    May04   0:16 [irq/57-vmw_vmci]
root         750  0.0  0.0      0     0 ?        S    May04   0:00 [irq/58-vmw_vmci]
root         751  0.0  0.0      0     0 ?        S    May04   0:10 [irq/59-vmw_vmci]
message+    1040  0.0  0.0  11048  6960 ?        Ss   May04   4:58 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
earlyoom    1049  0.0  0.0   2700  1840 ?        SLs  May04   2:40 /usr/bin/earlyoom -r 3600
root        1073  0.0  0.0  19460 10432 ?        Ss   May04   1:19 /usr/lib/systemd/systemd-logind
root        1145  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-cfg80]
root        1154  0.0  0.1 109656 23124 ?        Ssl  May04   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1218  0.1  0.4 1301388 70596 ?       Ssl  May04  21:51 PM2 v6.0.14: God Daemon (/root/.pm2)
root       15452  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-dio/d]
zeazdev    81474  0.0  0.0   8448  3372 ?        Ss   May05   0:00 ssh-agent -s
zeazdev   123431  0.0  0.0   9432  5120 ?        Ss   May05   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root     1309991  0.0  0.0   6928  4688 tty1     Ss   May04   0:00 /bin/login -p --
root     1346262  0.0  0.0  20264 11364 ?        Ss   May04   2:38 /usr/lib/systemd/systemd --user --deserialize=12
root     1346267  0.0  0.0  21164  3496 ?        S    May04   0:00 (sd-pam)
root     1346319  0.0  0.0  12484  9512 tty1     S+   May04   0:00 -bash
root     1511616  0.0  0.0      0     0 ?        I<   May08   0:03 [kworker/3:1H-kblockd]
root     1597023  0.0  0.0      0     0 ?        I<   May10   0:00 [kworker/6:1H]
root     1623852  0.0  0.0  14968 10600 ?        Ss   May04   0:00 sshd: zeazdev [priv]
zeazdev  1623938  0.0  0.0  20552 11628 ?        Ss   May04   2:35 /usr/lib/systemd/systemd --user --deserialize=24
zeazdev  1623939  0.0  0.0  21156  3572 ?        S    May04   0:00 (sd-pam)
zeazdev  1624270  0.0  0.0  15720  7792 ?        S    May04   0:08 sshd: zeazdev@notty
zeazdev  1624286  0.0  0.0   2876  2296 ?        Ss   May04   0:01 /usr/lib/openssh/sftp-server
root     1644690  0.0  0.0  14968 10688 ?        Ss   May11   0:00 sshd: zeazdev [priv]
zeazdev  1644792  0.0  0.0  15288  7400 ?        S    May11   0:01 sshd: zeazdev@notty
zeazdev  1644793  0.0  0.0   7472  4072 ?        Ss   May11   0:00 -bash
root     1644832  0.0  0.0      0     0 ?        I<   May11   0:06 [kworker/3:0H-kblockd]
root     1672728  0.0  0.0  14972 10612 ?        Ss   May04   0:00 sshd: zeazdev [priv]
zeazdev  1672887  0.0  0.0  15656  7724 ?        S    May04   0:03 sshd: zeazdev@notty
zeazdev  1672898  0.0  0.0   2748  2140 ?        Ss   May04   0:00 /usr/lib/openssh/sftp-server
root     1681653  0.0  0.0  17384  6360 ?        Ss   May12   0:02 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog   1684611  0.0  0.0 222508  6392 ?        Ssl  May12   0:22 /usr/sbin/rsyslogd -n -iNONE
root     1685190  1.1  0.3 2391272 64528 ?       Ssl  May12  26:37 /usr/bin/containerd
root     1685479  0.0  0.0  53468 12164 ?        Ss   May12   0:00 /usr/bin/VGAuthService
root     1685482  0.3  0.0 316396 10368 ?        Ssl  May12   7:14 /usr/bin/vmtoolsd
systemd+ 1685851  0.0  0.0  22156 10328 ?        Ss   May12   0:01 /usr/lib/systemd/systemd-networkd
root     1685864  0.0  0.2  91520 39696 ?        S<s  May12   1:23 /usr/lib/systemd/systemd-journald
root     1685865  0.0  0.0      0     0 ?        S    May12   0:00 [psimon]
root     1685940  0.0  0.0 152476  1664 ?        Ssl  May12   0:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root     1686084  1.0  1.2 3283576 204788 ?      Ssl  May12  24:33 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
zeazdev  1686331  0.0  0.0 155112  4040 ?        SLsl May04   0:34 /usr/bin/gpg-agent --supervised
systemd+ 1686356  0.0  0.0  91052  7992 ?        Ssl  May12   0:04 /usr/lib/systemd/systemd-timesyncd
root     1686431  0.0  0.0  29640  8488 ?        Ss   May12   0:10 /usr/lib/systemd/systemd-udevd
root     1686432  0.0  0.0      0     0 ?        S    May12   0:00 [psimon]
systemd+ 1686642  0.0  0.0  21724 13540 ?        Ss   May12   0:05 /usr/lib/systemd/systemd-resolved
avahi    1691272  0.0  0.0   8696  4652 ?        Ss   May12   0:03 avahi-daemon: running [zeaz-platform.local]
root     1691274  0.0  0.0   8148  3520 ?        Ss   May12   0:00 /usr/sbin/cron -f -P
avahi    1691276  0.0  0.0   8424  1520 ?        S    May12   0:00 avahi-daemon: chroot helper
redis    1691293  0.2  0.0  67872 15016 ?        Ssl  May12   6:41 /usr/bin/redis-server 127.0.0.1:6379
root     1691295  0.0  0.0 469068 13844 ?        Ssl  May12   0:08 /usr/libexec/udisks2/udisksd
root     1691296  0.0  0.0 314004  9140 ?        Ssl  May12   0:00 /usr/libexec/upowerd
root     1691299  0.0  0.1 354652 27584 ?        SLsl May12   0:41 /sbin/multipathd -d -s
polkitd  1691301  0.0  0.0 309972  9968 ?        Ssl  May12   0:07 /usr/lib/polkit-1/polkitd --no-debug
root     1691305  0.0  0.0  12024  8456 ?        Ss   May12   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root     1691344  0.0  0.0 392096 12988 ?        Ssl  May12   0:00 /usr/sbin/ModemManager
postgres 1691352  0.0  0.1 222864 31444 ?        Ss   May12   0:09 /usr/lib/postgresql/16/bin/postgres -D /var/lib/postgresql/16/main -c config_file=/etc/postgresql/16/main/postgresql.conf
postgres 1691357  0.0  0.1 223128 23384 ?        Ss   May12   0:00 postgres: 16/main: checkpointer 
postgres 1691358  0.0  0.0 223020  8300 ?        Ss   May12   0:04 postgres: 16/main: background writer 
postgres 1691360  0.0  0.0 222864 10392 ?        Ss   May12   0:04 postgres: 16/main: walwriter 
postgres 1691361  0.0  0.0 224472  8784 ?        Ss   May12   0:01 postgres: 16/main: autovacuum launcher 
postgres 1691362  0.0  0.0 224448  8004 ?        Ss   May12   0:00 postgres: 16/main: logical replication launcher 
root     1758987  0.0  0.0      0     0 ?        I<   May13   0:03 [kworker/6:0H-kblockd]
root     1768199  0.1  0.0 1235348 12372 ?       Sl   May13   2:39 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 74dd57f9c6a3090181e4c8210bce118db25fa8453ca595daa80b3af015a51fbd -address /run/containerd/containerd.sock
root     1768200  0.1  0.0 1235348 12436 ?       Sl   May13   2:36 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 4748c3dc4d17633a2fdb8b1ff2131065c46c7f20162d9cb1f2fdc039807d855e -address /run/containerd/containerd.sock
root     1768240  0.0  0.0 1235348 10932 ?       Sl   May13   0:09 /usr/bin/containerd-shim-runc-v2 -namespace moby -id d644942dce25ba799d8f49eb3ee7ab7fe3a7aae6084615ee7db894d61cd6e923 -address /run/containerd/containerd.sock
root     1768241  0.0  0.0 1235348 11084 ?       Sl   May13   0:12 /usr/bin/containerd-shim-runc-v2 -namespace moby -id da0fd23e3f38325ade25a7d453dd893a2bb0ab047d70d89ee631fac5706fa3f7 -address /run/containerd/containerd.sock
root     1768267  0.1  0.0 1235604 12400 ?       Sl   May13   2:41 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 62677872b2eb2c068f8ab910893bdd41ac52926a7b4063c1505fe2d9d6ab0af5 -address /run/containerd/containerd.sock
lxd      1768334  0.6  0.0  39380  8992 ?        Ssl  May13  10:31 redis-server *:6379
root     1768341  0.2  1.7 1542784 293180 ?      Ssl  May13   4:22 minio server /data --console-address :9001
nobody   1768350  0.1  0.5 1664280 82640 ?       Ssl  May13   1:55 /bin/prometheus --config.file=/etc/prometheus/prometheus.yml --storage.tsdb.path=/prometheus
472      1768357  0.9  1.4 1677016 241776 ?      Ssl  May13  15:16 grafana server --homepath=/usr/share/grafana --config=/etc/grafana/grafana.ini --packaging=docker cfg:default.log.mode=console cfg:default.paths.data=/var/lib/grafana cfg:default.paths.logs=/var/log/grafana cfg:default.paths.plugins=/var/lib/grafana/plugins cfg:default.paths.provisioning=/etc/grafana/provisioning
lxd      1768364  0.0  0.1 216732 28340 ?        Ss   May13   0:17 postgres
root     1768457  0.0  0.0 1747108 5080 ?        Sl   May13   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 59000 -container-ip 172.18.0.2 -container-port 9000 -use-listen-fd
root     1768474  0.0  0.0 1747108 5260 ?        Sl   May13   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 59001 -container-ip 172.18.0.2 -container-port 9001 -use-listen-fd
root     1768534  0.0  0.0 1747108 5148 ?        Sl   May13   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 59090 -container-ip 172.18.0.3 -container-port 9090 -use-listen-fd
root     1768568  0.0  0.0 1747108 5144 ?        Sl   May13   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 56379 -container-ip 172.18.0.4 -container-port 6379 -use-listen-fd
root     1768602  0.0  0.0 1673120 5112 ?        Sl   May13   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 53001 -container-ip 172.18.0.5 -container-port 3000 -use-listen-fd
root     1768636  0.0  0.0 1599388 5068 ?        Sl   May13   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 55432 -container-ip 172.18.0.6 -container-port 5432 -use-listen-fd
lxd      1768676  0.0  0.0 216864 11016 ?        Ss   May13   0:00 postgres: checkpointer 
lxd      1768677  0.0  0.0 216888  7516 ?        Ss   May13   0:02 postgres: background writer 
lxd      1768679  0.0  0.0 216732 10284 ?        Ss   May13   0:02 postgres: walwriter 
lxd      1768680  0.0  0.0 218328  8616 ?        Ss   May13   0:02 postgres: autovacuum launcher 
lxd      1768681  0.0  0.0 218316  7900 ?        Ss   May13   0:00 postgres: logical replication launcher 
root     1778105  0.0  0.0 1235348 11040 ?       Sl   May13   0:10 /usr/bin/containerd-shim-runc-v2 -namespace moby -id d76c66586a5fc0bb12ca3d9b5bff93d43f6405f7087e1d888db3e445d4b0f96a -address /run/containerd/containerd.sock
root     1778131  0.0  0.6 1761532 108956 ?      Ssl  May13   0:03 node /usr/local/bin/pnpm --filter @zveo/dashboard start
root     1778166  0.0  0.0 1895084 5992 ?        Sl   May13   0:01 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 3000 -container-ip 172.18.0.8 -container-port 3000 -use-listen-fd
root     1778192  0.0  0.0   2584  1664 ?        S    May13   0:00 sh -c next start
root     1778193  0.0  0.9 11898060 150832 ?     Sl   May13   0:06 next-server (v16.2.6)
root     1800171  0.0  0.0 1235604 11240 ?       Sl   May13   0:09 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 00d740f178242e1aa701c2f2442e8a8cf67fe3c25bd52afa6336a0ead80fe76f -address /run/containerd/containerd.sock
root     1800194  0.0  0.5 1596156 87876 ?       Ssl  May13   0:19 node apps/api-gateway/dist/server.js
root     1800258  0.0  0.0 1747364 5780 ?        Sl   May13   0:01 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 8080 -container-ip 172.18.0.7 -container-port 8080 -use-listen-fd
root     1869401  0.0  0.0      0     0 ?        I<   May13   0:01 [kworker/2:0H-kblockd]
root     2064297  0.0  0.0  14736 10556 ?        Ss   May13   0:00 sshd: zeazdev [priv]
zeazdev  2064405  0.2  0.0  14964  7300 ?        S    May13   1:39 sshd: zeazdev@pts/0
zeazdev  2064417  0.0  0.0  12896  9916 pts/0    Ss   May13   0:03 -bash
root     2165234  0.0  0.2 479420 43448 ?        Ssl  01:06   0:04 /usr/libexec/fwupd/fwupd
zeazdev  2188909  0.0  0.0   7340  3728 pts/0    T    02:09   0:00 bash fix-phase12-worker-runtime.sh
zeazdev  2188915  0.0  0.0  23748 13072 pts/0    T    02:09   0:00 /usr/lib/postgresql/16/bin/psql postgresql://postgres:postgres@localhost:5432/zwallet -c  select   id,   status,   tx_hash,   created_at from wallet_transfers order by created_at desc limit 10; 
postgres 2188916  0.0  0.1 225156 19988 ?        Ss   02:09   0:00 postgres: 16/main: postgres zwallet 127.0.0.1(1076) idle
zeazdev  2188917  0.0  0.0   2800  1852 pts/0    T    02:09   0:00 sh -c -- pager
